FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
100111;1100;37;;;
100111;1200;36;;;
100111;1300;39;;;
100111;1400;39;;;
100111;1500;32;;;
100111;1600;28;;;
100111;1700;23;;;
100111;1800;21;;;
100111;1900;17;;;
100111;2000;13;;;
100111;2100;10;;;
100111;2200;10;;;
100111;2300;7;;;
100112;0000;3;;;
100112;0100;6;;;
100112;0200;4;;;
100112;0300;3;;;
100112;0400;4;;;
100112;0500;4;;;
100112;0600;4;;;
100112;0700;7;;;
100112;0800;14;;;
100112;0900;23;;;
100112;1000;33;;;
100112;1100;47;;;
100112;1200;56;;;
100112;1300;48;;;
100112;1400;45;;;
100112;1500;45;;;
100112;1600;45;;;
100112;1700;44;;;
100112;1800;42;;;
100112;1900;25;;;
100112;2000;15;;;
100112;2100;4;;;
100112;2200;4;;;
100112;2300;4;;;
100113;0000;4;;;
100113;0100;4;;;
100113;0200;4;;;
100113;0300;4;;;
100113;0400;4;;;
100113;0500;4;;;
100113;0600;4;;;
100113;0700;7;;;
100113;0800;15;;;
100113;0900;34;;;
100113;1000;43;;;
100113;1100;62;;;
100113;1200;64;;;
100113;1300;60;;;
100113;1400;56;;;
100113;1500;56;;;
100113;1600;44;;;
100113;1700;46;;;
100113;1800;49;;;
100113;1900;31;;;
100113;2000;9;;;
100113;2100;5;;;
100113;2200;4;;;
100113;2300;4;;;
100114;0000;4;;;
100114;0100;4;;;
100114;0200;6;;;
100114;0300;8;;;
100114;0400;7;;;
100114;0500;4;;;
100114;0600;4;;;
100114;0700;9;;;
100114;0800;23;;;
100114;0900;39;;;
100114;1000;58;;;
100114;1100;74;;;
100114;1200;82;;;
100114;1300;74;;;
100114;1400;77;;;
100114;1500;69;;;
100114;1600;60;;;
100114;1700;53;;;
100114;1800;49;;;
100114;1900;42;;;
100114;2000;33;;;
100114;2100;27;;;
100114;2200;19;;;
100114;2300;12;;;
100115;0000;6;;;
100115;0100;19;;;
100115;0200;24;;;
100115;0300;22;;;
100115;0400;20;;;
100115;0500;6;;;
100115;0600;5;;;
100115;0700;13;;;
100115;0800;24;;;
100115;0900;30;;;
100115;1000;50;;;
100115;1100;80;;;
100115;1200;85;;;
100115;1300;81;;;
100115;1400;70;;;
100115;1500;73;;;
100115;1600;75;;;
100115;1700;69;;;
100115;1800;48;;;
100115;1900;32;;;
100115;2000;26;;;
100115;2100;20;;;
100115;2200;22;;;
100115;2300;9;;;
100116;0000;15;;;
100116;0100;13;;;
100116;0200;12;;;
100116;0300;6;;;
100116;0400;4;;;
100116;0500;4;;;
100116;0600;5;;;
100116;0700;7;;;
100116;0800;19;;;
100116;0900;37;;;
100116;1000;52;;;
100116;1100;82;;;
100116;1200;99;;;
100116;1300;69;;;
100116;1400;69;;;
100116;1500;72;;;
100116;1600;60;;;
100116;1700;48;;;
100116;1800;37;;;
100116;1900;26;;;
100116;2000;22;;;
100116;2100;13;;;
100116;2200;11;;;
100116;2300;11;;;
100117;0000;12;;;
100117;0100;5;;;
100117;0200;4;;;
100117;0300;4;;;
100117;0400;4;;;
100117;0500;4;;;
100117;0600;5;;;
100117;0700;12;;;
100117;0800;26;;;
100117;0900;45;;;
100117;1000;60;;;
100117;1100;71;;;
100117;1200;88;;;
100117;1300;62;;;
100117;1400;65;;;
100117;1500;55;;;
100117;1600;53;;;
100117;1700;58;;;
100117;1800;42;;;
100117;1900;32;;;
100117;2000;22;;;
100117;2100;15;;;
100117;2200;6;;;
100117;2300;4;;;
100118;0000;7;;;
100118;0100;5;;;
100118;0200;5;;;
100118;0300;5;;;
100118;0400;5;;;
100118;0500;4;;;
100118;0600;4;;;
100118;0700;5;;;
100118;0800;8;;;
100118;0900;12;;;
100118;1000;22;;;
100118;1100;23;;;
100118;1200;20;;;
100118;1300;19;;;
100118;1400;22;;;
100118;1500;26;;;
100118;1600;38;;;
100118;1700;47;;;
100118;1800;45;;;
100118;1900;29;;;
100118;2000;14;;;
100118;2100;4;;;
100118;2200;6;;;
100118;2300;4;;;
100119;0000;4;;;
100119;0100;6;;;
100119;0200;4;;;
100119;0300;4;;;
100119;0400;4;;;
100119;0500;4;;;
100119;0600;4;;;
100119;0700;6;;;
100119;0800;16;;;
100119;0900;29;;;
100119;1000;41;;;
100119;1100;71;;;
100119;1200;64;;;
100119;1300;57;;;
100119;1400;55;;;
100119;1500;52;;;
100119;1600;54;;;
100119;1700;53;;;
100119;1800;47;;;
100119;1900;28;;;
100119;2000;19;;;
100119;2100;5;;;
100119;2200;4;;;
100119;2300;4;;;
100120;0000;4;;;
100120;0100;4;;;
100120;0200;7;;;
100120;0300;5;;;
100120;0400;6;;;
100120;0500;4;;;
100120;0600;4;;;
100120;0700;10;;;
100120;0800;21;;;
100120;0900;36;;;
100120;1000;51;;;
100120;1100;75;;;
100120;1200;79;;;
100120;1300;71;;;
100120;1400;60;;;
100120;1500;64;;;
100120;1600;56;;;
100120;1700;63;;;
100120;1800;50;;;
100120;1900;32;;;
100120;2000;7;;;
100120;2100;5;;;
100120;2200;5;;;
100120;2300;4;;;
100121;0000;5;;;
100121;0100;4;;;
100121;0200;5;;;
100121;0300;4;;;
100121;0400;7;;;
100121;0500;4;;;
100121;0600;5;;;
100121;0700;8;;;
100121;0800;24;;;
100121;0900;34;;;
100121;1000;59;;;
100121;1100;75;;;
100121;1200;77;;;
100121;1300;76;;;
100121;1400;76;;;
100121;1500;73;;;
100121;1600;73;;;
100121;1700;57;;;
100121;1800;42;;;
100121;1900;29;;;
100121;2000;19;;;
100121;2100;9;;;
100121;2200;4;;;
100121;2300;4;;;
100122;0000;4;;;
100122;0100;4;;;
100122;0200;4;;;
100122;0300;4;;;
100122;0400;4;;;
100122;0500;4;;;
100122;0600;4;;;
100122;0700;7;;;
100122;0800;19;;;
100122;0900;31;;;
100122;1000;63;;;
100122;1100;93;;;
100122;1200;84;;;
100122;1300;72;;;
100122;1400;65;;;
100122;1500;63;;;
100122;1600;59;;;
100122;1700;55;;;
100122;1800;44;;;
100122;1900;25;;;
100122;2000;11;;;
100122;2100;5;;;
100122;2200;5;;;
100122;2300;4;;;
100123;0000;4;;;
100123;0100;4;;;
100123;0200;4;;;
100123;0300;4;;;
100123;0400;4;;;
100123;0500;4;;;
100123;0600;5;;;
100123;0700;10;;;
100123;0800;22;;;
100123;0900;40;;;
100123;1000;55;;;
100123;1100;70;;;
100123;1200;65;;;
100123;1300;53;;;
100123;1400;53;;;
100123;1500;52;;;
100123;1600;50;;;
100123;1700;46;;;
100123;1800;39;;;
100123;1900;33;;;
100123;2000;27;;;
100123;2100;21;;;
100123;2200;16;;;
100123;2300;11;;;
100124;0000;9;;;
100124;0100;6;;;
100124;0200;4;;;
100124;0300;7;;;
100124;0400;7;;;
100124;0500;4;;;
100124;0600;5;;;
100124;0700;11;;;
100124;0800;24;;;
100124;0900;43;;;
100124;1000;63;;;
100124;1100;80;;;
100124;1200;79;;;
100124;1300;66;;;
100124;1400;61;;;
100124;1500;60;;;
100124;1600;57;;;
100124;1700;52;;;
100124;1800;42;;;
100124;1900;37;;;
100124;2000;28;;;
100124;2100;23;;;
100124;2200;23;;;
100124;2300;22;;;
100125;0000;18;;;
100125;0100;19;;;
100125;0200;19;;;
100125;0300;13;;;
100125;0400;6;;;
100125;0500;4;;;
100125;0600;4;;;
100125;0700;10;;;
100125;0800;15;;;
100125;0900;32;;;
100125;1000;48;;;
100125;1100;68;;;
100125;1200;64;;;
100125;1300;61;;;
100125;1400;57;;;
100125;1500;50;;;
100125;1600;44;;;
100125;1700;43;;;
100125;1800;31;;;
100125;1900;22;;;
100125;2000;21;;;
100125;2100;16;;;
100125;2200;11;;;
100125;2300;10;;;
100126;0000;9;;;
100126;0100;4;;;
100126;0200;4;;;
100126;0300;5;;;
100126;0400;4;;;
100126;0500;3;;;
100126;0600;4;;;
100126;0700;7;;;
100126;0800;13;;;
100126;0900;21;;;
100126;1000;39;;;
100126;1100;63;;;
100126;1200;57;;;
100126;1300;54;;;
100126;1400;56;;;
100126;1500;52;;;
100126;1600;51;;;
100126;1700;45;;;
100126;1800;34;;;
100126;1900;20;;;
100126;2000;12;;;
100126;2100;8;;;
100126;2200;8;;;
100126;2300;4;;;
100127;0000;4;;;
100127;0100;4;;;
100127;0200;4;;;
100127;0300;4;;;
100127;0400;4;;;
100127;0500;4;;;
100127;0600;4;;;
100127;0700;7;;;
100127;0800;16;;;
100127;0900;34;;;
100127;1000;52;;;
100127;1100;68;;;
100127;1200;97;;;
100127;1300;108;;;
100127;1400;90;;;
100127;1500;78;;;
100127;1600;68;;;
100127;1700;54;;;
100127;1800;42;;;
100127;1900;30;;;
100127;2000;22;;;
100127;2100;15;;;
100127;2200;8;;;
100127;2300;10;;;
100128;0000;8;;;
100128;0100;6;;;
100128;0200;4;;;
100128;0300;5;;;
100128;0400;4;;;
100128;0500;5;;;
100128;0600;4;;;
100128;0700;7;;;
100128;0800;18;;;
100128;0900;32;;;
100128;1000;42;;;
100128;1100;67;;;
100128;1200;68;;;
100128;1300;58;;;
100128;1400;54;;;
100128;1500;57;;;
100128;1600;47;;;
100128;1700;36;;;
100128;1800;28;;;
100128;1900;18;;;
100128;2000;11;;;
100128;2100;10;;;
100128;2200;7;;;
100128;2300;4;;;
100129;0000;4;;;
100129;0100;4;;;
100129;0200;5;;;
100129;0300;7;;;
100129;0400;4;;;
100129;0500;4;;;
100129;0600;4;;;
100129;0700;7;;;
100129;0800;17;;;
100129;0900;26;;;
100129;1000;42;;;
100129;1100;57;;;
100129;1200;53;;;
100129;1300;51;;;
100129;1400;54;;;
100129;1500;54;;;
100129;1600;46;;;
100129;1700;38;;;
100129;1800;24;;;
100129;1900;14;;;
100129;2000;8;;;
100129;2100;4;;;
100129;2200;3;;;
100129;2300;3;;;
100130;0000;3;;;
100130;0100;4;;;
100130;0200;4;;;
100130;0300;4;;;
100130;0400;4;;;
100130;0500;4;;;
100130;0600;4;;;
100130;0700;7;;;
100130;0800;16;;;
100130;0900;25;;;
100130;1000;43;;;
100130;1100;57;;;
100130;1200;58;;;
100130;1300;60;;;
100130;1400;58;;;
100130;1500;51;;;
100130;1600;51;;;
100130;1700;46;;;
100130;1800;34;;;
