O3,CO,PM25,NOX
4.0,0.7,26.0,48.0
5.0,0.7,33.0,60.0
10.0,0.7,36.0,58.0
22.0,0.599998,34.0,45.0
37.0,0.5,35.0,32.0
53.0,0.4,34.0,25.0
53.0,0.0999998,14.0,6.0
60.0,0.2,22.0,5.0
70.0,0.2,29.0,7.0
75.0,0.2,29.0,5.0
72.0,0.2,25.0,4.0
71.0,0.2,27.0,5.0
63.0,0.2,21.0,6.0
50.0,0.2,21.0,8.0
28.0,0.2,17.0,13.0
19.0,0.4,25.0,20.0
13.0,0.5,27.0,23.0
6.0,0.799996,31.0,42.0
5.0,1.2,44.0,63.0
4.0,0.9,36.0,44.0
4.0,1.0,35.0,48.0
4.0,1.1,31.0,51.0
4.0,0.9,25.0,36.0
4.0,0.7,27.0,33.0
4.0,0.599998,24.0,36.0
6.0,0.599998,25.0,29.0
17.0,0.5,26.0,22.0
27.0,0.4,25.0,21.0
42.0,0.4,25.0,20.0
64.0,0.3,29.0,13.0
76.0,0.3,28.0,10.0
67.0,0.2,24.0,6.0
68.0,0.3,33.0,5.0
65.0,0.3,31.0,4.0
58.0,0.2,39.0,5.0
46.0,0.2,25.0,6.0
35.0,0.0999998,14.0,6.0
30.0,0.0999998,10.0,7.0
23.0,0.2,10.0,10.0
16.0,0.2,6.0,14.0
10.0,0.3,15.0,17.0
6.0,0.4,11.0,21.0
8.0,0.3,9.0,16.0
5.0,0.3,9.0,15.0
4.0,0.4,13.0,24.0
4.0,0.3,13.0,18.0
4.0,0.2,11.0,18.0
4.0,0.4,14.0,30.0
4.0,0.5,16.0,40.0
4.0,0.799996,20.0,70.0
9.0,0.5,18.0,42.0
13.0,0.4,16.0,39.0
20.0,0.3,15.0,22.0
29.0,0.3,18.0,20.0
37.0,21.9601,14.0,11.0
36.0,,15.0,7.0
39.0,0.0999998,14.0,3.0
39.0,0.0999998,15.0,4.0
32.0,0.0999998,15.0,5.0
28.0,0.0999998,12.0,6.0
23.0,0.0999998,9.0,7.0
21.0,0.0999998,9.0,7.0
17.0,0.0999998,11.0,6.0
13.0,0.0999998,11.0,9.0
10.0,0.0999998,11.0,10.0
10.0,0.0999998,12.0,7.0
7.0,0.0999998,6.0,10.0
3.0,0.2,7.0,17.0
6.0,0.0999998,5.0,11.0
4.0,0.2,8.0,16.0
