O3,CO,PM25,NOX
47.856,0.167992,40.0,6.459
48.0221,0.114943,26.0,5.81329
48.5206,0.167992,19.5,5.81329
40.7939,0.212201,19.5,9.70996
26.005,0.291776,26.0,14.6425
13.2933,0.503977,26.0,29.1933
3.15716,0.645444,25.0,49.2521
1.994,0.893013,34.0,63.0631
1.994,0.83112,28.0,58.0484
1.994,0.6366,19.5,42.4124
2.16016,0.46861,18.5,38.2362
2.40941,0.406719,15.0,24.3156
1.994,0.506925,17.5,
1.994,0.363529,16.0,
1.994,0.457343,19.0,
1.994,0.897097,24.0,
2.32633,1.14336,27.0,
9.72072,0.571676,31.5,
17.2813,0.439753,30.5,
24.0941,0.448548,24.5,
37.3875,0.334212,26.5,
52.4255,0.175902,25.0,
53.4225,0.158311,41.5,
53.0071,0.167106,45.5,
47.7728,0.167106,36.0,
29.0791,0.167106,38.0,
14.6227,0.228672,30.0,
7.64365,0.255057,25.0,
6.14816,0.211082,10.5,
4.07108,0.263852,8.5,
2.24325,0.272646,5.0,
2.57558,0.281442,7.5,
4.4034,0.219877,7.0,
4.48649,0.211082,3.5,
4.56956,0.19303,6.0,
4.15416,0.211082,4.5,
3.4895,0.211082,7.0,
1.994,0.21164,7.0,
1.994,0.238095,9.5,
1.994,0.423279,15.0,
2.16016,0.529099,16.5,
3.82183,0.396824,16.5,
7.80981,0.299823,18.0,
14.955,0.21164,22.0,
21.4355,0.291005,25.5,
30.1592,0.31746,29.5,
33.7318,0.31746,19.5,
30.5746,0.31746,18.0,
28.4976,0.299823,21.5,
26.4205,0.299823,24.0,
19.7738,0.31746,25.0,
13.2933,0.326278,19.5,
9.3053,0.308641,11.0,
6.72974,0.31746,9.0,
6.31432,0.282186,9.0,
5.73273,0.26455,11.0,
3.988,0.273368,10.5,
4.23724,0.26455,9.5,
5.56657,0.232804,6.5,
6.39741,0.185185,9.0,
3.73875,0.199882,7.5,
2.991,0.21164,8.5,
1.994,0.229276,11.0,
1.994,0.529099,17.5,
2.4925,0.599646,23.5,
4.4865,0.458553,24.5,
9.3053,0.343915,18.0,
16.6997,0.282186,15.5,
18.4445,0.220458,12.5,
20.1892,0.21164,11.0,
28.4145,0.21164,6.5,
33.7318,0.220458,5.5,
36.7228,0.238095,5.0,
36.2242,0.21164,2.0,
32.9839,0.21164,3.5,
26.3374,0.229276,12.5,
13.958,0.299823,12.0,
3.65566,0.361551,22.5,
1.994,0.56437,19.5,
1.994,0.57319,20.0,
1.994,0.749557,23.5,
1.994,0.493826,12.0,46.753
1.994,0.444443,14.5,35.6055
2.32633,0.352733,8.0,23.7676
1.994,0.329217,9.5,26.3982
1.994,0.316622,10.5,27.878
1.994,0.430958,12.5,50.6497
1.994,0.791553,20.5,83.7795
2.40941,1.39841,32.5,133.927
10.1362,0.457343,26.0,41.4423
14.4565,0.439753,32.0,43.7441
23.5125,0.457343,47.5,39.4693
36.058,0.483728,51.0,38.6472
43.4525,0.466138,34.5,
55.2504,0.413368,32.5,
45.5295,0.202287,11.0,
47.856,0.184697,25.0,
49.6838,0.272646,37.0,
48.4375,0.369392,33.5,
40.877,0.316622,49.0,
18.0291,0.466138,39.0,
8.72371,0.650832,31.0,
5.48349,0.703605,35.0,
1.994,1.19613,43.5,
2.24325,0.765168,31.5,
1.994,0.721193,28.5,
2.24325,0.485487,18.0,
1.994,0.598063,20.5,
1.994,0.492523,17.0,
2.65866,0.319149,13.5,
1.994,0.452127,22.0,
1.994,0.930847,27.5,
2.16016,1.59574,36.5,
7.47749,0.673758,28.0,
16.0351,0.549644,28.5,
24.011,0.531914,32.5,
46.1943,0.336879,16.0,
40.96,0.301418,25.5,
39.1321,0.239362,9.5,
47.3574,0.283688,13.5,
54.3364,0.319149,19.5,
49.5176,0.184574,22.0,
46.3604,0.238297,21.0,
22.0171,0.478723,24.0,
5.31731,0.514184,22.5,
2.57558,0.567373,13.0,
1.994,1.00177,27.5,
1.994,1.31205,31.5,
1.994,1.35638,32.0,
1.994,1.23226,27.0,
1.994,0.829783,20.0,
1.82833,0.744678,15.0,
1.994,0.579195,11.5,
1.994,0.565866,13.0,
1.994,0.610077,14.0,
1.994,0.601233,16.5,
2.32633,0.751545,22.5,
5.98199,0.618918,27.0,
14.6227,0.415561,16.0,
28.9961,0.433244,15.5,
48.5206,0.512816,19.0,
46.6097,0.344827,14.0,
36.4734,0.265251,7.5,
38.8829,0.212201,16.5,
44.0341,0.212201,14.0,
40.5446,0.221042,17.0,
30.7408,0.221042,4.0,
19.1922,0.282935,9.5,
8.30832,0.442085,10.5,
2.65866,0.751545,18.5,
1.994,1.20247,33.5,
1.994,1.13174,36.0,
1.994,1.15827,33.5,
1.994,1.04332,27.0,
1.91117,0.901855,21.5,
1.994,0.786912,12.0,
1.994,0.6366,13.0,
1.994,0.837014,15.5,
1.994,0.645444,17.0,
1.994,0.751545,16.5,
2.4925,0.698495,17.0,
10.4685,0.424402,13.0,
20.6877,0.36251,18.0,
33.7318,0.389036,16.5,
50.2654,0.406719,15.0,
55.3334,0.344827,17.0,
48.6037,0.318302,21.0,
39.3813,0.30946,11.0,
35.892,0.318302,10.0,
32.1532,0.318302,20.5,
22.3494,0.327143,13.0,
11.1331,0.318302,18.5,
4.23724,0.318302,17.0,
2.65916,0.335985,13.0,
1.33133,0.344827,9.5,
1.0,0.344827,7.5,
1.0,0.389035,5.5,
1.0,0.397877,7.0,
1.0,0.264743,6.0,
1.0,0.318302,4.5,
1.33133,0.377246,4.0,
1.66267,0.389036,10.0,
1.55222,0.495136,10.0,
1.91117,1.0168,18.5,
1.994,1.17595,31.0,
4.4034,0.521661,15.5,
8.55756,0.654284,19.0,
12.4625,0.654284,23.0,
24.011,0.424403,10.5,
30.2423,0.335985,6.5,
32.9009,0.318302,5.5,
28.3314,0.318302,11.0,
25.922,0.318302,13.0,
23.2633,0.327143,1.5,
19.0261,0.389036,6.0,
12.2132,0.36251,4.0,
5.98199,0.406719,14.5,
3.24025,0.424402,25.0,
1.994,0.495136,20.0,
1.994,0.380194,12.0,
1.994,0.486294,15.5,
1.91117,0.5305,14.5,
1.91117,0.291777,12.0,
1.994,0.221042,4.5,
1.91117,0.212201,8.5,
1.994,0.353669,10.0,
1.994,0.495136,15.5,
1.994,0.954906,23.5,
1.994,1.55614,34.0,
5.23424,0.751545,20.5,
10.8839,0.689651,23.0,
15.0381,0.680811,34.0,
28.2483,0.539344,22.5,
43.7849,0.503977,22.5,
63.7249,0.503977,33.5,
47.1082,0.282935,10.5,
35.8088,0.150309,1.0,
29.5776,0.106101,9.5,
27.8329,0.176834,21.0,
19.3584,0.256409,12.0,
10.3854,0.291776,12.0,
3.82183,0.318302,14.0,
2.40941,0.371352,14.0,
2.82483,0.300618,12.5,
1.994,0.36251,12.0,
1.994,0.459769,14.0,
1.994,0.485785,14.0,
1.994,0.486294,12.0,
1.994,0.412613,9.0,
1.994,0.318302,11.5,
1.994,0.495135,13.5,
1.994,0.999112,22.0,
2.07708,1.81255,31.5,
6.48048,0.893013,24.0,
11.5486,0.707335,26.0,
24.011,0.539344,26.0,
42.2062,0.477452,23.5,
55.0011,0.433244,33.5,
59.6537,0.238726,23.5,
58.8229,0.194517,25.5,
63.5587,0.212201,25.0,
66.0509,0.212201,32.0,
62.9771,0.229884,28.0,
49.6006,0.300618,21.0,
19.6907,0.477452,15.0,
4.90191,0.866488,30.0,
2.4925,1.16711,41.5,
1.994,1.39699,45.5,
1.994,1.0168,29.0,
1.994,0.884171,24.5,
1.994,0.503977,24.0,
2.24325,0.57471,17.0,
4.07108,0.412613,16.0,
5.31731,0.353669,15.5,
1.994,0.486294,20.5,
1.994,1.20247,33.0,
1.994,2.74093,57.5,
4.56956,1.61803,45.0,
14.8719,0.963748,33.0,
32.9839,0.689651,29.5,
59.9861,0.442085,29.0,
73.5286,0.300618,21.5,
58.5737,0.203359,22.5,
54.2534,0.203359,18.5,
51.1793,0.132626,11.0,
47.6898,0.159151,18.0,
32.9009,0.203359,14.0,
24.925,0.212201,21.5,
11.964,0.30946,25.0,
9.80382,0.371352,24.5,
15.0381,0.318302,25.5,
8.80681,0.353669,32.5,
1.994,0.6366,33.0,
1.994,0.663128,34.0,
1.994,0.468102,34.0,
1.994,0.57471,32.0,
1.994,0.424403,23.0,
1.994,0.591015,30.0,
1.994,0.691485,35.0,
1.994,1.06383,37.5,
1.994,1.56915,57.5,
5.15115,0.957442,52.5,
12.4625,0.789003,47.0,
20.0231,0.753544,56.0,
37.3875,0.478723,43.0,
64.3893,0.39007,26.0,
73.2793,0.319149,37.5,
66.9651,0.221631,26.0,
61.3154,0.248227,37.5,
54.0872,0.257092,28.0,
44.5326,0.310283,29.5,
35.4765,0.39007,29.0,
16.2012,0.593968,33.0,
1.994,0.833329,30.5,
1.994,1.33865,41.0,
1.994,1.80851,49.0,
1.994,1.48049,47.0,
1.66267,1.0195,45.5,
1.82833,0.673758,31.5,
1.994,0.744678,29.0,
1.994,0.851063,31.5,
1.994,0.907747,33.5,
1.994,0.804596,33.0,
1.994,0.839963,31.0,
2.16016,0.954906,35.5,
6.56357,0.893014,44.5,
18.943,0.698495,41.0,
27.1682,0.618917,42.5,
48.6868,0.459769,30.5,
67.8788,0.415561,25.5,
76.6027,0.389036,40.5,
68.7096,0.300618,23.0,
54.2534,0.221042,15.5,
45.5295,0.212201,20.5,
38.2183,0.229884,27.5,
34.3134,0.229884,25.5,
32.4023,0.30946,25.5,
38.0521,0.282935,31.5,
31.9871,0.30946,32.5,
30.5746,0.30946,27.5,
25.5896,0.380194,27.5,
18.943,0.406719,34.5,
10.3854,0.379685,29.0,
8.64066,0.424403,20.5,
5.48349,0.44798,22.5,
4.54188,0.496453,26.5,
1.994,0.531915,28.5,
1.994,0.514181,28.5,
5.8989,0.425531,26.0,
12.961,0.319149,33.5,
17.5305,0.319149,37.0,
26.0881,0.319149,37.5,
40.2953,0.319149,33.5,
56.4966,0.319149,31.0,
59.4875,0.319149,19.0,
61.6478,0.292552,23.5,
55.0842,0.319149,27.5,
47.1082,0.319149,15.5,
41.6247,0.319149,18.0,
33.4825,0.381205,10.0,
18.7768,0.425531,10.5,
6.72974,0.540777,13.5,
2.16016,0.585105,10.5,
1.994,0.567373,13.0,
1.994,0.726949,18.0,
1.994,0.735812,17.0,
1.994,0.585105,16.0,
1.994,0.523047,14.5,
1.994,0.39007,11.0,
1.994,0.424403,17.0,
1.994,0.52166,19.0,
1.994,1.00796,25.5,
1.994,1.95402,39.5,
4.98499,0.87533,24.5,
8.80681,0.795753,26.5,
16.0351,0.663128,28.0,
23.4295,0.495136,24.5,
47.1082,0.424403,27.5,
57.1613,0.335985,20.5,
57.2443,0.238726,14.0,
53.5056,0.212201,10.5,
50.2653,0.212201,12.0,
36.6396,0.221042,23.0,
18.1952,0.238726,19.0,
7.56057,0.30946,12.5,
2.40941,0.371352,12.0,
2.4925,0.327143,7.5,
2.07708,0.30946,9.5,
1.994,0.389035,13.0,
1.994,0.539344,14.5,
1.994,0.370844,11.5,
1.994,0.300618,9.5,
1.994,0.318302,8.0,
1.994,0.295508,8.5,
1.994,0.39007,12.5,
1.994,1.06383,21.5,
1.994,1.98581,35.0,
3.82183,1.20567,33.5,
10.8839,0.611698,23.0,
18.2783,0.589938,0.0,
19.94,,0.0,
43.1202,0.328013,0.0,
51.7609,0.132979,0.0,
55.4164,0.265957,0.0,
56.1642,0.336879,3.5,
58.3245,0.265957,9.0,
53.2563,0.274822,13.5,5.43513
42.5386,0.310283,13.0,8.64125
18.7768,0.487588,16.5,24.7541
2.74174,0.762407,19.0,55.0067
1.994,1.28546,33.5,88.8765
1.994,1.25,30.5,90.0273
1.994,0.921984,23.0,
1.994,0.620564,18.0,
2.57558,0.37234,12.5,
3.65566,0.319149,13.0,
4.07108,0.319149,11.5,
3.65566,0.296296,12.5,
1.994,0.47111,19.0,
1.994,1.36889,30.5,
2.07708,2.7911,46.5,
3.82183,1.92888,50.5,
14.5396,1.13778,26.5,
34.895,0.568888,20.5,
52.6747,0.417777,20.0,
58.8229,0.39111,24.0,
77.4335,0.355555,30.5,
77.2671,0.177778,20.0,
72.3655,0.16,21.5,
69.9561,0.222222,44.0,
61.2323,0.168889,28.5,
48.4375,0.284444,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0.0,
27.8329,,0.0,
61.2323,,22.0,
100.198,,38.5,
90.7267,,33.0,
86.4065,,36.0,
72.7809,0.284444,31.0,
64.8877,0.195555,28.0,
58.9059,0.168889,28.0,
42.4554,0.222222,30.0,
24.5096,0.284444,29.0,
18.5276,0.257777,25.5,
5.40041,0.417777,31.0,
2.40941,0.426666,30.5,
1.994,0.577777,31.0,
1.91117,0.435555,25.5,
1.994,0.613332,27.0,
1.994,0.542219,29.5,
1.994,0.557034,31.5,
1.994,0.426666,30.5,
1.994,0.506663,32.0,
1.994,1.12889,40.5,
1.91117,0.977776,37.0,
3.07408,1.09333,44.0,
9.05605,0.479999,38.0,
17.032,0.257777,61.0,
32.4025,0.112778,52.5,
33.981,0.0999998,28.5,
36.5566,0.0999998,18.5,
41.5416,0.0999998,19.5,
41.2093,0.0999998,22.0,
41.3754,0.0999998,20.0,
33.8979,0.0999998,21.0,
25.922,0.0999998,17.0,
14.7888,0.103889,20.0,
15.952,0.0999998,19.5,
9.13913,0.103333,18.0,
9.3884,0.100555,16.0,
3.40641,0.122778,19.0,
5.4835,0.166666,17.5,
13.7087,0.0999998,23.0,
17.032,0.0999998,11.5,
18.1952,0.0999998,14.0,
18.7214,0.0999998,12.0,
16.2843,0.0999998,14.0,
12.961,0.0999998,15.5,
8.64064,0.0999998,18.0,
10.2192,0.0999998,22.0,
14.0411,0.0999998,22.0,
20.1061,0.0999998,24.0,
27.5836,0.102222,28.0,
42.8708,0.105556,31.0,
53.3394,0.105,35.5,
50.8469,0.0999998,21.0,
50.5977,0.0999998,14.5,
47.3574,0.0999998,13.0,
41.3754,0.0999998,13.0,
31.1562,0.0999998,14.0,
10.3023,0.112222,16.0,
3.24024,0.319999,21.0,
2.65866,0.248888,21.0,
1.994,0.346666,20.5,
1.994,0.791107,34.0,
2.32633,0.959997,36.5,
3.07408,0.102222,10.0,
2.40941,0.101667,11.5,
2.16016,0.448888,19.5,
1.994,0.26074,17.0,
1.994,0.132778,13.5,
2.07708,0.213333,16.5,
2.24325,0.177778,17.5,
8.47449,0.131111,19.0,
19.6076,0.0999998,18.0,
31.2393,0.0999998,17.0,
45.4465,0.0999998,21.5,
58.0752,0.0999998,19.0,
60.2354,0.0999998,15.0,
43.2863,0.0999998,4.5,
38.3013,0.0999998,9.5,
35.0611,0.0999998,12.0,
28.1652,0.0999998,10.5,
17.8629,0.0999998,10.5,
8.97298,0.0999998,10.0,
8.05907,0.0999998,7.0,
5.23424,0.0999998,10.5,
3.15716,0.0999998,9.0,
2.57558,0.0999998,5.0,
1.994,0.0999998,9.0,
2.16016,0.0999998,8.5,
3.07408,0.0999998,6.0,
2.32633,0.0999998,6.5,
1.994,0.0999998,8.5,
1.994,0.137778,15.5,
1.994,0.728888,25.5,
1.994,1.90222,32.0,
2.4925,1.05778,28.0,
4.98499,0.31111,22.5,
14.5396,0.0999998,12.0,
19.6907,0.0999998,12.0,
28.1652,0.0999998,7.5,
36.058,,12.5,
37.8029,,8.5,
33.8979,,9.5,
31.3224,,8.5,
23.8449,0.213333,11.0,
14.4565,0.24,10.5,
8.22522,0.275555,10.0,
4.98499,0.302222,13.0,
4.56956,0.32,11.5,
4.48649,0.266666,7.5,
2.40941,0.275555,7.5,
2.07708,0.319999,11.0,
1.994,0.266666,7.5,
1.994,0.213333,8.0,
1.994,0.213333,9.0,
1.994,0.223901,11.0,
1.994,0.436607,15.0,
1.994,1.19227,25.5,
1.994,1.78001,35.5,
3.73874,0.755666,27.5,
6.64666,0.612927,19.5,
14.3734,0.394625,16.5,
25.0081,0.369437,19.0,
39.0491,0.285474,18.5,
41.7078,0.201511,9.5,
48.0221,0.201511,15.0,
46.942,0.201511,10.5,
39.0491,0.201511,9.5,
30.5746,0.209907,10.5,
20.6877,0.209907,13.0,
10.8839,0.285474,12.0,
5.06808,0.327455,13.0,
2.07708,0.344248,12.5,
1.994,0.42821,13.5,
1.994,0.646514,19.0,
1.994,0.587739,19.0,
1.994,0.394625,15.5,
1.994,0.29387,11.0,
1.994,0.201511,10.5,
1.994,0.369437,11.5,
1.994,0.461796,15.5,
1.994,1.09152,23.0,
1.994,1.93954,33.0,
6.81281,0.881611,22.5,
13.5426,0.52057,21.0,
24.3434,0.554152,19.5,
32.6517,0.58774,23.0,
43.3694,0.486985,27.0,
47.939,0.201511,14.0,
55.1672,0.201511,12.5,
56.2474,0.201511,14.0,
49.4344,0.243492,12.0,8.97008
33.3163,0.302267,13.5,13.4915
22.3494,0.310663,10.0,18.1774
10.6347,0.369437,15.0,25.3295
2.99099,0.612926,16.5,42.6755
1.994,0.764063,17.5,55.2534
1.994,0.957177,25.0,76.463
1.994,0.764062,21.0,55.9109
1.994,0.53736,18.0,43.0043
1.994,0.483626,15.0,37.9074
2.07708,0.386229,12.0,26.8367
2.991,0.302267,10.5,15.521
2.43711,0.20202,13.0,17.8769
1.994,0.454545,17.5,55.8757
1.994,1.11111,31.0,122.81
1.994,2.3569,42.0,200.97
5.98199,0.993262,27.0,91.7126
15.4535,0.395622,19.0,37.6662
23.6787,0.521885,22.0,42.572
34.7288,0.479797,20.5,42.3225
46.2773,0.40404,27.5,41.491
55.2504,0.218855,21.0,24.7782
58.3245,0.100168,12.0,7.15076
67.9618,0.100421,20.5,8.56427
63.891,0.100673,14.5,8.98003
52.0932,0.109259,14.5,11.225
30.0761,0.16835,19.0,21.9512
8.22522,0.412457,25.0,34.8392
2.16016,0.732322,28.0,54.1296
2.16016,0.984844,39.5,88.6362
2.32633,1.46464,37.5,110.92
1.994,0.959594,36.5,91.1307
1.994,0.76599,32.5,76.9288
1.994,0.656565,27.5,60.4489
1.994,0.538717,23.5,51.3303
1.994,0.3367,19.0,24.9445
1.994,0.40404,20.0,30.5986
1.994,0.563972,25.5,48.3092
1.994,1.2037,36.0,112.832
2.40941,2.07912,51.0,194.817
5.56657,1.26262,49.5,113.913
8.64066,0.993262,41.0,97.6993
19.6907,0.808079,38.0,69.4288
41.874,0.311447,24.0,25.3603
57.909,0.311447,18.5,24.0299
71.6177,0.277777,29.0,13.8026
67.9618,0.252525,18.5,10.8093
63.8079,0.20202,15.5,7.98225
56.912,0.20202,17.0,7.7328
40.7939,0.3367,30.0,16.796
24.0941,0.429292,17.5,25.776
13.1272,0.50505,30.5,33.0931
15.1212,0.50505,27.0,30.3492
16.2012,0.513467,26.0,26.5243
9.72072,0.63131,34.5,30.5154
2.82483,0.791244,35.5,42.9877
1.994,1.07744,38.5,59.7671
1.994,0.909087,34.0,47.062
2.40941,0.690232,28.5,31.1529
2.90791,0.594834,26.0,25.2771
1.994,0.57239,26.0,29.3514
1.994,0.580807,26.0,37.7494
1.994,0.5303,25.5,41.3248
2.16016,0.959594,40.5,89.3014
9.72072,0.791244,35.0,60.532
21.6847,0.547134,34.5,37.5831
36.058,0.412457,35.0,23.8636
47.7728,0.412457,32.0,19.1241
58.9059,0.40404,32.0,18.6253
67.7128,0.311447,26.5,13.5532
69.3744,0.260942,25.0,10.643
67.5464,0.23569,28.0,11.3082
60.9,0.20202,22.0,11.7239
55.7488,0.20202,21.0,10.4767
39.2153,0.294612,25.5,15.5488
15.2042,0.47138,31.5,30.0997
2.07708,0.993261,37.5,54.1296
2.82483,1.66666,67.5,89.6339
2.40941,1.60774,64.0,86.308
1.994,1.04377,44.5,56.7073
1.994,1.11953,46.0,59.0687
1.994,1.29293,47.5,65.6871
1.994,0.909087,32.0,45.2327
1.994,0.942759,28.0,40.1981
1.994,0.828434,29.5,43.6948
1.994,0.797647,33.5,44.9338
1.994,0.629721,31.0,37.6651
2.32633,0.738873,33.5,46.9162
7.06207,0.646514,33.5,41.1343
22.3494,0.453399,24.5,25.3579
37.0551,0.352644,22.5,19.3282
50.0992,0.36104,28.5,17.2632
61.8138,0.268681,24.0,9.74669
63.2263,0.2267,17.0,7.10352
58.4906,0.201511,13.0,4.70814
52.3425,0.201511,12.0,4.54294
49.4344,0.201511,13.5,5.12114
47.6898,0.251889,22.0,7.02091
36.3074,0.352644,20.0,13.2158
14.2072,0.478588,16.5,24.8623
3.82183,0.58774,21.5,42.0428
2.07708,1.29303,32.0,74.5043
1.994,1.3518,35.5,79.1298
1.994,0.948781,25.0,60.6276
1.994,0.688496,20.0,40.5396
1.994,0.433249,18.0,31.8006
2.65866,0.285474,15.5,23.0176
4.15416,0.201511,13.0,14.7059
3.21255,0.30303,12.5,18.0555
1.994,0.420875,16.5,41.9933
1.994,1.19528,28.0,112.01
1.994,2.23063,40.5,172.712
5.31731,1.27104,30.5,106.046
12.7117,0.547134,22.0,49.5097
20.4385,0.555552,24.5,49.9999
36.6396,0.429292,19.0,36.2744
39.6307,0.50505,26.0,49.3463
51.1793,0.336699,15.5,29.6568
55.998,0.252525,20.0,25.8987
57.8259,0.151515,17.5,17.1568
48.5206,0.10101,12.5,9.0686
40.2123,0.143097,17.5,15.3595
21.0201,0.26936,21.5,28.9215
2.16016,0.749156,28.5,69.4443
1.994,1.12794,34.0,97.3037
2.24325,1.90235,51.5,140.523
2.07708,1.43097,40.5,120.506
1.994,0.765989,27.5,76.4705
1.994,0.47138,19.0,38.6274
2.32633,0.464645,17.0,24.5098
3.988,0.412457,14.5,17.1024
4.07108,0.40404,15.5,17.5166
4.54188,0.201005,14.0,18.2926
1.994,0.418759,17.0,43.5698
1.994,1.32328,30.5,143.597
2.07708,2.93132,52.0,249.612
2.90791,1.91792,43.0,191.491
7.06207,1.12228,37.0,136.945
18.0291,0.594638,25.0,72.9211
37.2213,0.427135,23.0,48.725
54.5857,0.376884,25.5,41.9067
72.4485,0.259631,28.0,33.0099
77.7659,0.201005,23.5,20.8702
62.9771,0.100502,21.0,13.9689
52.3423,0.108877,14.0,15.2161
33.4825,0.175879,13.5,19.041
17.2813,0.284757,18.5,29.4345
2.57558,0.577888,25.0,49.2239
1.994,0.711889,24.0,60.4489
1.994,0.946397,30.0,79.4899
1.994,1.27303,33.5,113.248
1.994,0.996648,28.0,99.6118
1.994,0.619761,21.5,57.7715
2.90791,0.241205,14.5,26.1917
5.31731,0.100502,14.5,15.9645
2.4925,0.111669,14.5,23.9467
1.994,0.447802,16.5,32.9268
1.994,0.663305,19.5,59.9501
1.994,1.37699,37.0,152.993
1.994,2.94709,58.0,252.106
2.40941,2.09907,55.0,191.574
5.56657,1.31822,47.0,134.118
10.7177,1.09152,41.0,111.169
19.3584,0.990764,48.5,101.774
41.0984,0.503777,33.5,43.6806
59.0721,0.235096,21.5,13.5532
59.4875,0.209907,17.5,11.3082
57.3275,0.184718,17.0,9.89465
48.0221,0.209907,29.5,15.9645
42.5386,0.277078,34.0,19.7061
30.5746,0.352644,25.5,26.1917
2.90791,0.722078,34.0,71.175
1.994,1.26784,41.0,110.088
1.994,1.41897,40.5,114.745
1.994,1.17548,35.0,93.2094
1.994,1.23425,36.5,102.771
1.994,0.738873,26.5,57.572
1.994,0.51385,25.5,37.1673
1.994,0.52057,24.5,29.0465
2.07708,0.470192,23.5,25.3318
2.10477,0.403022,23.0,25.8019
1.994,0.646513,28.0,55.4203
1.994,1.59529,37.0,135.73
1.994,2.45171,50.0,202.433
4.07108,1.78001,47.5,150.498
24.5927,0.52057,27.5,34.5132
29.6607,0.621325,33.0,43.8882
43.7018,0.596133,34.5,44.9667
56.5797,0.60453,41.5,60.73
64.7218,0.310663,22.5,21.1559
69.2083,0.260285,27.0,12.8595
70.8699,0.251889,23.0,12.4447
61.814,0.302267,22.0,13.3573
57.5767,0.327455,26.5,15.7632
28.8299,0.503777,29.0,32.0242
10.1362,0.797647,26.5,48.0364
2.16016,1.51133,44.0,86.3661
1.994,1.46935,53.5,97.4003
1.994,0.973969,44.5,55.5862
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,0.0,
26.8359,1.06633,23.5,61.0618
45.4465,0.88161,40.0,56.001
67.7959,0.713683,33.5,44.6349
95.4624,0.570947,38.0,27.4612
91.8899,0.495381,33.0,17.5885
79.2614,0.377833,24.5,9.87277
65.0542,0.327455,23.0,9.87277
44.3665,0.419814,23.0,17.2566
20.7708,0.53736,25.5,31.1946
2.82483,1.06633,32.5,56.6647
2.07708,1.07473,33.5,64.6293
2.07708,1.09152,31.0,68.4457
2.65866,1.78841,55.0,112.5
2.65866,1.83879,63.0,110.094
1.994,1.30143,41.0,75.564
1.994,0.937026,23.0,50.7742
1.994,0.915195,21.5,47.4557
1.994,0.828434,19.0,36.4238
1.994,0.524843,18.5,30.9602
1.994,0.552763,19.5,45.7781
1.994,0.720264,27.0,70.033
1.994,1.0469,34.5,100.414
3.24025,1.30653,42.5,125.91
8.39139,1.0134,42.5,96.1918
24.6757,0.678391,34.0,55.8774
46.3604,0.477386,31.5,30.3807
58.9891,0.586264,32.5,39.1555
70.7869,0.402009,21.5,21.2748
74.3594,0.360133,32.5,15.6456
62.9771,0.301507,19.5,8.7748
64.7218,0.301507,27.0,9.85095
53.0901,0.301507,21.0,11.5894
32.6517,0.443885,28.0,21.937
8.14214,0.711889,39.5,38.99
2.65866,1.49916,53.0,87.417
2.90791,2.00167,72.0,101.904
2.991,2.52931,82.5,115.646
2.57558,2.0938,81.5,106.705
1.994,1.69179,57.0,85.9269
1.994,1.42713,39.0,73.0131
1.994,1.1474,29.5,55.9601
1.994,0.915688,25.0,36.4744
1.994,0.737017,25.0,36.0032
2.43711,0.611387,23.0,28.7693
1.994,0.636515,26.5,41.491
2.07708,0.845894,32.5,67.1007
8.88991,0.603014,29.0,38.7471
26.005,0.477386,28.5,25.3603
40.2953,0.402009,28.5,19.3736
55.5826,0.43551,31.5,21.6186
70.7039,0.502512,34.0,24.5288
77.2671,0.385259,29.0,13.6363
59.3214,0.22613,18.0,6.15298
56.4135,0.201005,18.0,5.90353
54.8349,0.217755,18.5,6.98447
48.6868,0.242881,19.0,8.23169
31.4885,0.309882,17.0,13.3869
10.4685,0.469011,20.5,28.1042
7.56057,0.653265,16.5,29.8503
1.994,1.0134,23.0,57.5387
2.07708,1.46566,34.5,98.2814
1.994,0.904521,25.0,63.1928
1.994,0.670013,19.5,46.3968
2.24325,0.462311,16.5,26.4412
3.24025,0.402009,14.0,16.5188
3.90491,0.323841,13.5,17.3289
3.65566,0.356446,14.5,17.9635
1.994,0.501249,19.5,44.4536
1.994,1.3868,30.5,127.98
1.994,2.69005,49.0,230.215
3.48949,1.54553,40.5,130.215
10.7177,0.83542,32.0,73.5927
20.3554,0.735168,31.5,58.1125
27.6667,0.693398,37.0,63.576
45.2803,0.509604,30.0,41.3079
55.8318,0.384293,23.0,18.7914
50.93,0.334167,21.0,15.0662
57.9091,0.300751,18.5,12.5
53.7548,0.300751,19.5,12.0033
35.0611,0.367585,24.5,22.9304
20.8539,0.434418,17.0,29.0562
10.5516,0.534668,23.0,33.4436
3.73874,0.601501,26.0,41.8046
1.994,0.768585,25.5,56.1257
1.994,0.61821,24.0,46.8542
1.994,0.944026,27.5,66.0594
1.994,0.8939,25.0,63.1787
1.994,0.711778,24.0,61.0098
1.994,0.467835,21.0,47.0198
1.994,0.42328,18.0,31.0421
1.994,0.403022,21.5,33.5088
1.994,0.60453,24.5,67.0176
1.994,1.16708,31.0,118.653
1.994,2.67002,54.5,253.769
4.56956,1.30142,44.5,117.988
9.88689,0.890004,40.5,89.8002
19.5246,0.822837,49.5,85.8091
32.8179,0.612926,56.5,65.2715
48.6036,0.319059,27.0,26.5243
53.6718,0.235096,26.0,15.3824
